iter	AUC
0	0.849015643
1	0.8559731126
2	0.8572292119
3	0.8578668026
4	0.8584298844
5	0.8586370187
6	0.8589682347
7	0.8591812095
8	0.8593024652
9	0.8593877047
10	0.8594947316
11	0.859551734
12	0.8596137086
13	0.8596553987
14	0.859694661
15	0.8597422546
16	0.8597653931
17	0.8597863957
18	0.8598077891
19	0.8598341101
20	0.8598598663
21	0.8598707608
22	0.8598898784
23	0.8599090935
24	0.8599178277
25	0.8599320033
26	0.8599507296
27	0.8599630937
28	0.8599796401
29	0.8599962931
30	0.8600077671
31	0.8600231706
32	0.8600339726
33	0.8600450856
34	0.8600508583
35	0.8600575717
36	0.8600661311
37	0.8600748138
38	0.8600839869
